aland10,ameri_es,asian,awater10,black,city,county,countyfp10,funcstat10,geoid10,geoid10_1,globalid,hawn_pi,hispanic,hse_units,intptlat10,intptlon10,mtfcc10,multi_race,name10,namelsad10,non_hispan,objectid,occup,other,pst_cd,shape_star,shape_stle,state,statefp10,sumlev,total_pop,tract,tractce10,vacant,white,nbhdname,objectid_2
1097721.0000000000000000000000000000000,10.0000000000000000000000000000000,24.0000000000000000000000000000000,0.0000000000000000000000000000000,3812.0000000000000000000000000000000,,"029","029",S,"36029003700","36029003700",{05C72F83-114C-42C5-AB42-4015FBD53786},0.0000000000000000000000000000000,124.0000000000000000000000000000000,1989.0000000000000000000000000000000,"+42.9155947","-078.8090502",G5020,106.0000000000000000000000000000000,"37",Census Tract 37,4344.0000000000000000000000000000000,62.0000000000000000000000000000000,1640.0000000000000000000000000000000,24.0000000000000000000000000000000,,0.0001210160838372565761215937652,0.0482074159298840829168675270466,"36","36","140",4468.0000000000000000000000000000000,"003700","003700",349.0000000000000000000000000000000,492.0000000000000000000000000000000,Schiller Park,24.0000000000000000000000000000000
1410254.0000000000000000000000000000000,6.0000000000000000000000000000000,3.0000000000000000000000000000000,0.0000000000000000000000000000000,2816.0000000000000000000000000000000,,"029","029",S,"36029017000","36029017000",{930586D6-8E2D-48E1-9840-BB5794894D0F},0.0000000000000000000000000000000,74.0000000000000000000000000000000,1327.0000000000000000000000000000000,"+42.9254898","-078.8296225",G5020,68.0000000000000000000000000000000,"170",Census Tract 170,2998.0000000000000000000000000000000,54.0000000000000000000000000000000,1151.0000000000000000000000000000000,13.0000000000000000000000000000000,,0.0001554952737414026071004202745,0.0610859022552573127651243112268,"36","36","140",3072.0000000000000000000000000000000,"017000","017000",176.0000000000000000000000000000000,166.0000000000000000000000000000000,Delavan Grider,19.0000000000000000000000000000000
646495.0000000000000000000000000000000,75.0000000000000000000000000000000,410.0000000000000000000000000000000,0.0000000000000000000000000000000,711.0000000000000000000000000000000,,"029","029",S,"36029006902","36029006902",{9281F4B0-61E3-4B8B-A93F-9EB7EDB9146B},5.0000000000000000000000000000000,970.0000000000000000000000000000000,2219.0000000000000000000000000000000,"+42.9036315","-078.8870611",G5020,198.0000000000000000000000000000000,"69.02",Census Tract 69.02,2978.0000000000000000000000000000000,35.0000000000000000000000000000000,1830.0000000000000000000000000000000,414.0000000000000000000000000000000,,0.0000712580278692835286658002758,0.0362551097820447282282785295138,"36","36","140",3948.0000000000000000000000000000000,"006902","006902",389.0000000000000000000000000000000,2135.0000000000000000000000000000000,West Side,4.0000000000000000000000000000000
1258779.0000000000000000000000000000000,1.0000000000000000000000000000000,45.0000000000000000000000000000000,0.0000000000000000000000000000000,2330.0000000000000000000000000000000,,"029","029",S,"36029003600","36029003600",{2FEB1110-5648-402F-8882-9E395CEA1E23},0.0000000000000000000000000000000,101.0000000000000000000000000000000,1403.0000000000000000000000000000000,"+42.9163841","-078.8190746",G5020,58.0000000000000000000000000000000,"36",Census Tract 36,2507.0000000000000000000000000000000,61.0000000000000000000000000000000,1079.0000000000000000000000000000000,8.0000000000000000000000000000000,,0.0001387734738221737651030912586,0.0508873613010392064626152830442,"36","36","140",2608.0000000000000000000000000000000,"003600","003600",324.0000000000000000000000000000000,166.0000000000000000000000000000000,Genesee-Moselle,23.0000000000000000000000000000000
1538700.0000000000000000000000000000000,12.0000000000000000000000000000000,84.0000000000000000000000000000000,0.0000000000000000000000000000000,3352.0000000000000000000000000000000,,"029","029",S,"36029004001","36029004001",{44079B60-6858-4251-B470-A5EDEB07308E},0.0000000000000000000000000000000,129.0000000000000000000000000000000,2160.0000000000000000000000000000000,"+42.9341288","-078.8365723",G5020,161.0000000000000000000000000000000,"40.01",Census Tract 40.01,3884.0000000000000000000000000000000,43.0000000000000000000000000000000,1696.0000000000000000000000000000000,26.0000000000000000000000000000000,,0.0001696813576255648808172038500,0.0598192214700124444415330060565,"36","36","140",4013.0000000000000000000000000000000,"004001","004001",464.0000000000000000000000000000000,378.0000000000000000000000000000000,Fillmore-Leroy,13.0000000000000000000000000000000
1088611.0000000000000000000000000000000,6.0000000000000000000000000000000,1.0000000000000000000000000000000,0.0000000000000000000000000000000,3016.0000000000000000000000000000000,,"029","029",S,"36029001402","36029001402",{2E0F0DF0-B531-4F7B-9C6E-DCFBBAE07751},1.0000000000000000000000000000000,136.0000000000000000000000000000000,1822.0000000000000000000000000000000,"+42.8841436","-078.8600299",G5020,45.0000000000000000000000000000000,"14.02",Census Tract 14.02,3117.0000000000000000000000000000000,21.0000000000000000000000000000000,1607.0000000000000000000000000000000,46.0000000000000000000000000000000,,0.0001199517471583016223028728131,0.0474401509802636137114184577968,"36","36","140",3253.0000000000000000000000000000000,"001402","001402",215.0000000000000000000000000000000,138.0000000000000000000000000000000,Pratt-Willert,29.0000000000000000000000000000000
1220296.0000000000000000000000000000000,12.0000000000000000000000000000000,19.0000000000000000000000000000000,0.0000000000000000000000000000000,75.0000000000000000000000000000000,,"029","029",S,"36029001900","36029001900",{23F39E2A-A04D-4DD9-B8A5-98F1E262ECD0},0.0000000000000000000000000000000,129.0000000000000000000000000000000,1625.0000000000000000000000000000000,"+42.8685959","-078.8094726",G5020,45.0000000000000000000000000000000,"19",Census Tract 19,2960.0000000000000000000000000000000,44.0000000000000000000000000000000,1454.0000000000000000000000000000000,41.0000000000000000000000000000000,,0.0001344288826666420011250735467,0.0549232949702963685334466958921,"36","36","140",3089.0000000000000000000000000000000,"001900","001900",171.0000000000000000000000000000000,2897.0000000000000000000000000000000,Kaisertown,32.0000000000000000000000000000000
2069109.0000000000000000000000000000000,46.0000000000000000000000000000000,39.0000000000000000000000000000000,49645.0000000000000000000000000000000,337.0000000000000000000000000000000,,"029","029",S,"36029001000","36029001000",{C8D35CE1-849A-44C8-A984-FC9D404CAC3F},0.0000000000000000000000000000000,455.0000000000000000000000000000000,2738.0000000000000000000000000000000,"+42.8509179","-078.8060662",G5020,178.0000000000000000000000000000000,"10",Census Tract 10,5275.0000000000000000000000000000000,29.0000000000000000000000000000000,2394.0000000000000000000000000000000,125.0000000000000000000000000000000,,0.0002333368227524542769940607556,0.0854344856304689176385025461968,"36","36","140",5730.0000000000000000000000000000000,"001000","001000",344.0000000000000000000000000000000,5005.0000000000000000000000000000000,Seneca-Cazenovia,33.0000000000000000000000000000000
777408.0000000000000000000000000000000,10.0000000000000000000000000000000,16.0000000000000000000000000000000,0.0000000000000000000000000000000,1696.0000000000000000000000000000000,,"029","029",S,"36029002900","36029002900",{DF3D2030-59DE-4786-ABA7-8E91F4F09854},0.0000000000000000000000000000000,72.0000000000000000000000000000000,1260.0000000000000000000000000000000,"+42.9066274","-078.8198651",G5020,40.0000000000000000000000000000000,"29",Census Tract 29,1925.0000000000000000000000000000000,49.0000000000000000000000000000000,819.0000000000000000000000000000000,31.0000000000000000000000000000000,,0.0000856914030528536691151686444,0.0432252076445639593638148312493,"36","36","140",1997.0000000000000000000000000000000,"002900","002900",441.0000000000000000000000000000000,204.0000000000000000000000000000000,Genesee-Moselle,23.0000000000000000000000000000000
998641.0000000000000000000000000000000,7.0000000000000000000000000000000,33.0000000000000000000000000000000,0.0000000000000000000000000000000,3695.0000000000000000000000000000000,,"029","029",S,"36029004401","36029004401",{E29B873F-C693-4CFE-A34A-8AEC10DCFA11},1.0000000000000000000000000000000,92.0000000000000000000000000000000,2059.0000000000000000000000000000000,"+42.9371550","-078.8051332",G5020,99.0000000000000000000000000000000,"44.01",Census Tract 44.01,4073.0000000000000000000000000000000,68.0000000000000000000000000000000,1790.0000000000000000000000000000000,31.0000000000000000000000000000000,,0.0001101310152912066348332431609,0.0480281755144934333068285070567,"36","36","140",4165.0000000000000000000000000000000,"004401","004401",269.0000000000000000000000000000000,299.0000000000000000000000000000000,Kensington-Bailey,16.0000000000000000000000000000000
