aland10,ameri_es,asian,awater10,black,blkgrp,blkgrpce10,city,county,countyfp10,funcstat10,geoid10,geoid10_1,globalid,hawn_pi,hispanic,hse_units,intptlat10,intptlon10,mtfcc10,multi_race,namelsad10,non_hispan,objectid,occup,other,pst_cd,shape_star,shape_stle,state,statefp10,sumlev,total_pop,tract,tractce10,tractname1,vacant,white,nbhdname,objectid_2,councildis,dist_id
147859.0000000000000000000000000000000,3.0000000000000000000000000000000,4.0000000000000000000000000000000,0.0000000000000000000000000000000,447.0000000000000000000000000000000,"1","1",,"029","029",S,"360290029001","360290029001",{9C1A952A-98FB-4E55-B10C-D4B880B4E119},0.0000000000000000000000000000000,24.0000000000000000000000000000000,270.0000000000000000000000000000000,"+42.9073233","-078.8132379",G5030,15.0000000000000000000000000000000,Block Group 1,534.0000000000000000000000000000000,167.0000000000000000000000000000000,186.0000000000000000000000000000000,4.0000000000000000000000000000000,,0.0000162982738544776373311017553,0.0165395469712773593440324759740,"36","36","150",558.0000000000000000000000000000000,"002900","002900","29",84.0000000000000000000000000000000,85.0000000000000000000000000000000,Genesee-Moselle,23.0000000000000000000000000000000,LOVEJOY,6.0000000000000000000000000000000
476961.0000000000000000000000000000000,10.0000000000000000000000000000000,4.0000000000000000000000000000000,0.0000000000000000000000000000000,196.0000000000000000000000000000000,"2","2",,"029","029",S,"360290164002","360290164002",{46DBA956-09DE-41D9-814C-6E53524EADE5},0.0000000000000000000000000000000,139.0000000000000000000000000000000,561.0000000000000000000000000000000,"+42.8715885","-078.8548018",G5030,41.0000000000000000000000000000000,Block Group 2,708.0000000000000000000000000000000,96.0000000000000000000000000000000,365.0000000000000000000000000000000,32.0000000000000000000000000000000,,0.0000525446705214265940946105626,0.0443187794739359625095787009741,"36","36","150",847.0000000000000000000000000000000,"016400","016400","164",196.0000000000000000000000000000000,564.0000000000000000000000000000000,Ellicott,30.0000000000000000000000000000000,FILLMORE,3.0000000000000000000000000000000
437314.0000000000000000000000000000000,4.0000000000000000000000000000000,24.0000000000000000000000000000000,0.0000000000000000000000000000000,54.0000000000000000000000000000000,"4","4",,"029","029",S,"360290054004","360290054004",{7260E242-D6BC-4116-8C44-79E3D9D82B4A},0.0000000000000000000000000000000,26.0000000000000000000000000000000,421.0000000000000000000000000000000,"+42.9426394","-078.8576209",G5030,17.0000000000000000000000000000000,Block Group 4,808.0000000000000000000000000000000,21.0000000000000000000000000000000,402.0000000000000000000000000000000,5.0000000000000000000000000000000,,0.0000482315120101029144207560595,0.0437397701038191935585253133922,"36","36","150",834.0000000000000000000000000000000,"005400","005400","54",19.0000000000000000000000000000000,730.0000000000000000000000000000000,Parkside,13.0000000000000000000000000000000,DELAWARE,5.0000000000000000000000000000000
218256.0000000000000000000000000000000,4.0000000000000000000000000000000,0.0000000000000000000000000000000,0.0000000000000000000000000000000,768.0000000000000000000000000000000,"2","2",,"029","029",S,"360290033012","360290033012",{68BAB562-7875-4F4D-9B60-16785CE40277},0.0000000000000000000000000000000,8.0000000000000000000000000000000,427.0000000000000000000000000000000,"+42.9194490","-078.8457194",G5030,7.0000000000000000000000000000000,Block Group 2,790.0000000000000000000000000000000,249.0000000000000000000000000000000,334.0000000000000000000000000000000,3.0000000000000000000000000000000,,0.0000240628122326534441368685313,0.0197756364931359687742151720613,"36","36","150",798.0000000000000000000000000000000,"003301","003301","33.01",93.0000000000000000000000000000000,16.0000000000000000000000000000000,Hamlin Park,20.0000000000000000000000000000000,MASTEN,8.0000000000000000000000000000000
133425.0000000000000000000000000000000,0.0000000000000000000000000000000,6.0000000000000000000000000000000,0.0000000000000000000000000000000,44.0000000000000000000000000000000,"2","2",,"029","029",S,"360290167002","360290167002",{A4A93C5D-AE34-4266-8EBB-3BD0A8EF7D23},0.0000000000000000000000000000000,50.0000000000000000000000000000000,400.0000000000000000000000000000000,"+42.8734981","-078.8063784",G5030,16.0000000000000000000000000000000,Block Group 2,755.0000000000000000000000000000000,185.0000000000000000000000000000000,358.0000000000000000000000000000000,10.0000000000000000000000000000000,,0.0000146992704021551002211993381,0.0162973072473987616592960847584,"36","36","150",805.0000000000000000000000000000000,"016700","016700","167",42.0000000000000000000000000000000,729.0000000000000000000000000000000,Kaisertown,32.0000000000000000000000000000000,LOVEJOY,6.0000000000000000000000000000000
136251.0000000000000000000000000000000,3.0000000000000000000000000000000,6.0000000000000000000000000000000,0.0000000000000000000000000000000,633.0000000000000000000000000000000,"1","1",,"029","029",S,"360290042001","360290042001",{C6629B63-821A-4794-9112-D45EFBC93EFE},0.0000000000000000000000000000000,20.0000000000000000000000000000000,308.0000000000000000000000000000000,"+42.9385459","-078.8162474",G5030,6.0000000000000000000000000000000,Block Group 1,647.0000000000000000000000000000000,236.0000000000000000000000000000000,266.0000000000000000000000000000000,7.0000000000000000000000000000000,,0.0000150261077378067959371341078,0.0159174223927117802768194110286,"36","36","150",667.0000000000000000000000000000000,"004200","004200","42",42.0000000000000000000000000000000,12.0000000000000000000000000000000,Kensington-Bailey,16.0000000000000000000000000000000,MASTEN,8.0000000000000000000000000000000
411611.0000000000000000000000000000000,1.0000000000000000000000000000000,10.0000000000000000000000000000000,0.0000000000000000000000000000000,468.0000000000000000000000000000000,"1","1",,"029","029",S,"360290015001","360290015001",{139887CD-2DEE-474C-B7CF-4D4497D1BCA6},0.0000000000000000000000000000000,18.0000000000000000000000000000000,347.0000000000000000000000000000000,"+42.8826796","-078.8473924",G5030,15.0000000000000000000000000000000,Block Group 1,555.0000000000000000000000000000000,205.0000000000000000000000000000000,259.0000000000000000000000000000000,3.0000000000000000000000000000000,,0.0000453534711796944477093379566,0.0341061673636950668520029239517,"36","36","150",573.0000000000000000000000000000000,"001500","001500","15",88.0000000000000000000000000000000,76.0000000000000000000000000000000,Broadway Fillmore,23.0000000000000000000000000000000,FILLMORE,3.0000000000000000000000000000000
237546.0000000000000000000000000000000,1.0000000000000000000000000000000,1.0000000000000000000000000000000,0.0000000000000000000000000000000,518.0000000000000000000000000000000,"3","3",,"029","029",S,"360290166003","360290166003",{CAB3783F-7375-4489-AC69-CA8E3B375415},0.0000000000000000000000000000000,10.0000000000000000000000000000000,324.0000000000000000000000000000000,"+42.8990301","-078.8444377",G5030,6.0000000000000000000000000000000,Block Group 3,531.0000000000000000000000000000000,157.0000000000000000000000000000000,237.0000000000000000000000000000000,5.0000000000000000000000000000000,,0.0000261809483101801347259413033,0.0249546810899070499456531280202,"36","36","150",541.0000000000000000000000000000000,"016600","016600","166",87.0000000000000000000000000000000,10.0000000000000000000000000000000,Broadway Fillmore,23.0000000000000000000000000000000,FILLMORE,3.0000000000000000000000000000000
219069.0000000000000000000000000000000,8.0000000000000000000000000000000,1.0000000000000000000000000000000,0.0000000000000000000000000000000,27.0000000000000000000000000000000,"1","1",,"029","029",S,"360290167001","360290167001",{93C65740-1EC8-4AFD-B2E1-0F357A38BE16},0.0000000000000000000000000000000,15.0000000000000000000000000000000,415.0000000000000000000000000000000,"+42.8743675","-078.8028408",G5030,13.0000000000000000000000000000000,Block Group 1,751.0000000000000000000000000000000,184.0000000000000000000000000000000,374.0000000000000000000000000000000,3.0000000000000000000000000000000,,0.0000241352452733246253518267777,0.0275014707662473191496221858188,"36","36","150",766.0000000000000000000000000000000,"016700","016700","167",41.0000000000000000000000000000000,714.0000000000000000000000000000000,Kaisertown,32.0000000000000000000000000000000,LOVEJOY,6.0000000000000000000000000000000
186949.0000000000000000000000000000000,18.0000000000000000000000000000000,6.0000000000000000000000000000000,0.0000000000000000000000000000000,462.0000000000000000000000000000000,"4","4",,"029","029",S,"360290169004","360290169004",{4B376370-EC47-4C8C-A255-6DAF7ECCBBE7},0.0000000000000000000000000000000,106.0000000000000000000000000000000,334.0000000000000000000000000000000,"+42.9217362","-078.8644770",G5030,38.0000000000000000000000000000000,Block Group 4,903.0000000000000000000000000000000,190.0000000000000000000000000000000,272.0000000000000000000000000000000,27.0000000000000000000000000000000,,0.0000206118871740652666638658752,0.0294132009264952559712824609051,"36","36","150",1009.0000000000000000000000000000000,"016900","016900","169",62.0000000000000000000000000000000,458.0000000000000000000000000000000,Elmwood Bidwell,7.0000000000000000000000000000000,ELLICOTT,1.0000000000000000000000000000000
